;;; DOKUMENT; STATUS;;;;
;;;MÄNGDFÖRTECKNING;Bygghandling;;;;
;;; PROJEKT; DOKUMENTNUMMER;;;;
;;;VÄG 875, GC SUNDBORN;1E12MF10;;;;
;;;; DATUM;; BET.; SIDA;
;;;;2025-06-12;;;;
; HANDLÄGGARE; UPPDRAGSNUMMER; INNEHÅLL; ÄNDRINGSDATUM; ;  TOTALT BELOPP;;
;LSo;10368856;;;;1 687 336;;
; KOD;; TEXT;ENHET ;MÄNGD ;À-PRIS ;BELOPP ;
;;;;;;;;
;BBC.6;;Undersökningar av el- och telesystem;;;;;
;;;Undersökning av befintliga ledningar;-;-;-;1;
;;;;;;;;
;BEC.611;;Demontering av el- och teleinstallationer för uppläggning i upplag;;;;;
;;;Armatur B1;st;29;590;17 110;
;;;;;;;;
;BED.61;;Rivning av el- och teleinstallationer för materialåtervinning;;;;;
;;;Stolpcentraler;st;29;376;10 904;
;;;Belysningsstolpar;st;29;419;12 151;
;;;Belysningskabel <30-90 0/700-0/830;m;310;28;8 680;
;;;Belysningskabel <30-90 0/300;m;40;28;1 120;
;;;Belysningskabel <30°–90° 0/300-0/560;m;290;28;8 120;
;;;Belysningskabel  <30°–90°  sektion 0/560-0/700;m;20;28;560;
;;;Belysningskabel  <30°–90° sektion 0/000-0/300;m;340;28;9 520;
;;;Belysningskabel <30°  0/830-0/961;m;40;28;1 120;
;;;Belysningsfundament;st;29;524;15 196;
;;;;;;;;
;BJD.1;;Stomnät;;;;;
;;;Stomnät;-;-;-;1;
;;;;;;;;
;BJD.26;;Inmätning av el- och teleinstallationer;;;;;
;;;Inmätning av el- och teleinstallationer;-;-;-;1;
;;;;;;;;
;BJD.36;;Utsättning av el- och teleinstallationer;;;;;
;;;Utsättning av el- och teleinstallationer;-;-;-;1;
;;;;;;;;
;SBB.211;;Fundament till kabelskåp;;;;;
;;;Montering av fundament till kabelskåp(belysning);st;1;6100;6 100;
;;;Montering av fundament till kabelskåp(styrutrustning);st;1;6100;6 100;
;;;;;;;;
;SBC.21;;Stolpar och master för vägbelysning e d;;;;;
;;;Belysningsstolpe typ DY01;st;21;17700;371 700;
;;;Belysningsstolpe typ DY02;st;4;23400;93 600;
;;;Belysningsstolpe typ DY03;st;5;23900;119 500;
;;;;;;;;
;SBC.43;;Stolpinsatser;;;;;
;;;Stolpinsats, Ensto LCK4-06.1-06A, E7779866 eller likvärdig;st;26;1020;26 520;
;;;Stolpinsats, Fingal Johnsson STS-2-4-MK 6A E77 718 16 eller likvärdig;st;4;1550;6 200;
;;;;;;;;
;SBN.112;;Kabelskydd av plaströr;;;;;
;;;SRN 50 för vägbelysning;m;1150;45;51 750;
;;;;;;;;
;SBN.122;;Förstärkt kabelskydd av rör;;;;;
;;;SRS 110 för vägbelysning;m;100;146;14 600;
;;;;;;;;
;SCB.72;;Kraftkablar i kabelskyddsrör, flerfackskanaler o d i mark;;;;;
;;;SE-N1XE-R 4G16, gul mantel;m;1300;227;295 100;
;;;;;;;;
;SCC.822;;Installationskablar i eller på belysningsstolpar e d;;;;;
;;;Förmonterad kabel för armaturer ingår i kod SND.1;-;-;-;-;
;;;;;;;;
;SEC.22;;Diazedsäkringar;;;;;
;;;Diazed gG 6A (stolpcentraler);st;34;1;34;
;;;;;;;;
;SKB.32;;Kabelskåp för lågspänning;;;;;
;;;Montering kabelskåp för lågspänning(belysningscentral);st;1;10700;10 700;
;;;Montering kabelskåp för lågspänning(styrutrustning);st;1;5370;5 370;
;;;;;;;;
;SND.1;;Ljusarmaturer för vägtrafikbelysning;;;;;
;;;Fagerhult Opalume 306200-24761;st;25;16000;400 000;
;;;Fagerhult Opalume 306200-24766;st;4;14100;56 400;
;;;Fagerhult Opalume 306200-24385;st;5;15800;79 000;
;;;;;;;;
;YFB.631;;Anmälningshandlingar för elservis;;;;;
;;;Anmälningshandlingar;-;-;-;2 690;
;;;;;;;;
;YG;;MÄRKNING OCH SKYLTNING;;;;;
;;;Märkning och skyltning enligt separat skyltlista;-;-;-;1 340;
;;;;;;;;
;YGB.61;;Märkning av kanalisation;;;;;
;;;Märkning av kanalisation;-;-;-;2 690;
;;;;;;;;
;YGB.6312;;Märkning av kabelskåp;;;;;
;;;Märkning av kabelskåp;-;-;-;2 190;
;;;;;;;;
;YGB.6321;;Märkning av huvudledningar;;;;;
;;;Märkning av huvudledningar;-;-;-;15 100;
;;;;;;;;
;YGB.6322;;Märkning av gruppledningar;;;;;
;;;Märkning av gruppledningar;-;-;-;6 220;
;;;;;;;;
;YGB.6333;;Märkning av platsutrustningar i belysnings- och ljussystem;;;;;
;;;Märkning av platsutrustningar i belysnings- och ljussystem;-;-;-;10 500;
;;;;;;;;
;YGC.63;;Skyltning för elkraftsinstallationer;;;;;
;;;Skyltning för elkraftinstallationer;-;-;-;757;
;;;;;;;;
;YHB.6;;Kontroll av el- och telesystem;;;;;
;;;Egenkontroll enligt kontrollprogram;-;-;-;1 340;
;;;;;;;;
;YHB.63;;Kontroll av elkraftsystem;;;;;
;;;Kontroll av elkraftsystem;-;-;-;8 050;
;;;;;;;;
;YHB.632;;Kontroll av belysnings- och ljussystem;;;;;
;;;Kontroll av belysnings- och ljussystem;-;-;-;1 340;
;;;;;;;;
;YJD.63;;Underlag för relationshandlingar för elkraftsinstallationer;;;;;
;;;Underlag för relationshandling för elkraftinstallationer;-;-;-;1 300;
;;;;;;;;
;YJF.6;;Digital förvaltningsinformation för el- och teleinstallationer;;;;;
;;;"Leveranser enligt projektanpassad leveransplan
TMALL 0343";-;-;-;1 300;
;;;;;;;;
;YJG.6;;Kontrolldokument, intyg o d för el- och teleinstallationer;;;;;
;;;Kontrolldokument, intyg o d för el- och teleinstallationer;-;-;-;1 340;
;;;;;;;;
;YJJ.6;;Miljödokumentation för el- och teleinstallationer;;;;;
;;;Miljödokumentation för el-och teleinstallationer;-;-;-;1 340;
;;;;;;;;
;YJK.6;;Produktdokumentation för el- och teleinstallationer;;;;;
;;;Produktdokumentation för el- och teleinstallationer;-;-;-;1 340;
;;;;;;;;
;YJL.63;;Drift- och underhållsinstruktioner för elkraftsinstallationer;;;;;
;;;Drift- och underhållsinstruktioner för elkraftsinstallationer;-;-;-;1 340;
